"","geneSymbol","cluster"
"896","Atp6v1a",1
"897","Atp6v1b2",8
"898","Atp6v1c1",9
"899","Atp6v1d",9
"900","Atp6v1e1",1
"901","Atp6v1h",7
"902","Atp7b",4
"903","Atp8a1",1
"904","Atp8a2",1
"905","Atp8b2",9
"906","Atp8b3",3
"907","Atp8b4",6
"908","Atp9a",1
"909","Atpaf1",1
"910","Atr",2
"911","Atraid",4
"912","Atrip",7
"913","Atxn1",1
"914","Atxn1l",3
"915","Atxn2",1
"916","Atxn2l",3
"917","Atxn3",7
"918","Atxn7",2
"919","Atxn7l1",5
"920","Atxn7l3",7
"921","Atxn7l3b",5
"922","AU021092",1
"923","AU022252",4
"924","Auh",4
"925","Aunip",3
"926","Auts2",3
"927","Aven",3
"928","Avil",7
"929","Avl9",3
"930","Avpi1",1
"931","AW011738",8
"932","AW551984",6
"933","AW554918",7
"934","Axin1",3
"935","Axin2",3
"936","Axl",6
"937","Azi2",4
"938","Azin1",9
"939","B230118H07Rik",4
"940","B230208H11Rik",5
"941","B2m",1
"942","B3galnt1",9
"943","B3galnt2",3
"944","B3galt4",1
"945","B3gat1",7
"946","B3glct",3
"947","B3gnt4",3
"948","B3gnt7",3
"949","B4galnt3",3
"950","B4galnt4",3
"951","B4galt1",1
"952","B4galt4",1
"953","B4galt6",3
"954","B4gat1",1
"955","B630005N14Rik",1
"956","Baalc",1
"957","Bace1",4
"958","Bace2",2
"959","Bach1",3
"960","Bad",1
"961","Bag2",1
"962","Bag3",4
"963","Bag4",3
"964","Bahcc1",7
"965","Baiap2",7
"966","Baiap2l2",9
"967","Baiap3",9
"968","Bambi",1
"969","Bap1",7
"970","Bard1",3
"971","Barx1",2
"972","Barx2",9
"973","Basp1",3
"974","Bax",3
"975","Baz1a",3
"976","Baz1b",3
"977","Baz2a",5
"978","Bbc3",3
"979","Bbip1",1
"980","Bbs1",5
"981","Bbs12",3
"982","Bbs4",7
"983","Bbs5",6
"984","BC002163",1
"985","BC003331",4
"986","BC004004",1
"987","BC005537",7
"988","BC005624",3
"989","BC017158",8
"990","BC021767",3
"991","BC021891",6
"992","BC023829",3
"993","BC025920",6
"994","BC026585",4
"995","BC027231",3
"996","BC028528",1
"997","BC030336",9
"998","BC030867",7
"999","BC031361",7
"1000","BC037032",1
"1001","BC037034",7
"1002","BC048403",3
"1003","BC052040",1
"1004","BC055324",3
"1005","BC065397",3
"1006","BC068281",4
"1007","BC089491",7
"1008","Bcam",6
"1009","Bcap29",6
"1010","Bcar1",6
"1011","Bcas2",3
"1012","Bcat1",3
"1013","Bccip",3
"1014","Bche",4
"1015","Bcl11a",4
"1016","Bcl11b",4
"1017","Bcl2",1
"1018","Bcl2l1",3
"1019","Bcl2l11",2
"1020","Bcl2l2",2
"1021","Bcl3",6
"1022","Bcl6",4
"1023","Bcl7c",3
"1024","Bcl9",3
"1025","Bcl9l",4
"1026","Bco2",3
"1027","Bcor",5
"1028","Bcs1l",4
"1029","Bdh1",4
"1030","Bdkrb2",1
"1031","Bdp1",3
"1032","Bean1",8
"1033","Becn1",1
"1034","Begain",7
"1035","Bend3",3
"1036","Bend5",6
"1037","Bend6",6
"1038","Bet1",1
"1039","Bet1l",9
"1040","Bex2",3
"1041","Bex4",1
"1042","Bfar",1
"1043","Bgn",6
"1044","Bhlha15",1
"1045","Bhlhb9",1
"1046","Bhlhe40",6
"1047","Bhlhe41",6
"1048","Bicd2",1
"1049","Bid",7
"1050","Bik",9
"1051","Bin1",3
"1052","Bin3",3
"1053","Birc3",6
"1054","Bivm",6
"1055","Blcap",9
"1056","Bloc1s2",3
"1057","Bloc1s5",1
"1058","Blvra",4
"1059","Blvrb",1
"1060","Blzf1",1
"1061","Bmf",4
"1062","Bmi1",3
"1063","Bmp10",1
"1064","Bmp2",3
"1065","Bmp7",9
"1066","Bmpr1a",4
"1067","Bmpr2",1
"1068","Bms1",3
"1069","Bmx",4
"1070","Bmyc",9
"1071","Bnip1",4
"1072","Bnip2",9
"1073","Bnip3",4
"1074","Bnip3l",4
"1075","Bnipl",3
"1076","Bod1l",3
"1077","Bok",9
"1078","Bola1",3
"1079","Bola2",3
"1080","Bola3",4
"1081","Bop1",3
"1082","Bpgm",1
"1083","Bphl",4
"1084","Bptf",3
"1085","Braf",3
"1086","Brap",1
"1087","Brca2",3
"1088","Brcc3",4
"1089","Brd1",3
"1090","Brd2",3
"1091","Brd3",3
"1092","Brd8",3
"1093","Brdt",5
"1094","Brf1",7
"1095","Bri3bp",3
"1096","Brix1",3
"1097","Brk1",1
"1098","Brms1",3
"1099","Brms1l",9
"1100","Brox",1
"1101","Brpf1",3
"1102","Brpf3",7
"1103","Bsg",4
"1104","Bspry",3
"1105","Bst2",4
"1106","Btaf1",3
"1107","Btbd1",1
"1108","Btbd10",8
"1109","Btbd11",3
"1110","Btbd19",3
"1111","Btbd3",3
"1112","Btc",3
"1113","Btd",4
"1114","Btf3",3
"1115","Btg1",9
"1116","Btg2",6
"1117","Btg3",6
"1118","Btrc",5
"1119","Bud13",7
"1120","Bves",9
"1121","Bzrap1",7
"1122","Bzw1",3
"1123","C030006K11Rik",1
"1124","C030037D09Rik",4
"1125","C030039L03Rik",2
"1126","C130080G10Rik",1
"1127","C1d",4
"1128","C1galt1",2
"1129","C1galt1c1",4
"1130","C1qbp",3
"1131","C1ql1",3
"1132","C1qtnf4",4
"1133","C1qtnf6",4
"1134","C1qtnf9",3
"1135","C230037L18Rik",3
"1136","C2cd2",3
"1137","C2cd2l",1
"1138","C2cd3",3
"1139","C2cd4a",1
"1140","C2cd4b",1
"1141","C2cd4c",8
"1142","C2cd5",2
"1143","C3",6
"1144","C330006A16Rik",3
"1145","C330018D20Rik",1
"1146","C430049B03Rik",9
"1147","C4a",7
"1148","C4b",3
"1149","C530008M17Rik",3
"1150","C77370",1
"1151","C8b",3
"1152","C8g",3
"1153","C920025E04Rik",4
"1154","Caap1",3
"1155","Cab39",9
"1156","Cab39l",3
"1157","Cabin1",9
"1158","Cables1",3
"1159","Cables2",7
"1160","Cabp7",3
"1161","Cabyr",1
"1162","Cachd1",3
"1163","Cacna1a",9
"1164","Cacna1b",3
"1165","Cacna1c",9
"1166","Cacna1d",1
"1167","Cacna1h",1
"1168","Cacna2d1",1
"1169","Cacna2d2",1
"1170","Cacna2d3",7
"1171","Cacnb2",1
"1172","Cacnb3",2
"1173","Cacng6",1
"1174","Cactin",3
"1175","Cad",3
"1176","Cadm1",9
"1177","Cadm3",7
"1178","Cadm4",1
"1179","Cadps2",3
"1180","Cahm",1
"1181","Calb1",3
"1182","Calcrl",4
"1183","Calhm2",4
"1184","Calm3",6
"1185","Calr",1
"1186","Calu",1
"1187","Camk1",1
"1188","Camk1d",6
"1189","Camk1g",4
