"","geneSymbol","cluster"
"1057","Bzw2",7
"1058","C030006K11Rik",1
"1059","C030037D09Rik",4
"1060","C130080G10Rik",1
"1061","C1d",4
"1062","C1galt1",2
"1063","C1galt1c1",1
"1064","C1qbp",5
"1065","C1ql1",3
"1066","C1qtnf4",1
"1067","C1qtnf6",4
"1068","C1qtnf9",3
"1069","C2cd2",5
"1070","C2cd2l",7
"1071","C2cd3",5
"1072","C2cd4a",1
"1073","C2cd4b",1
"1074","C2cd4c",8
"1075","C2cd5",2
"1076","C3",6
"1077","C330006A16Rik",5
"1078","C330018D20Rik",4
"1079","C3ar1",1
"1080","C430049B03Rik",1
"1081","C4a",5
"1082","C4b",5
"1083","C530008M17Rik",3
"1084","C77370",4
"1085","C8b",2
"1086","C8g",2
"1087","C920025E04Rik",4
"1088","Caap1",3
"1089","Cab39",9
"1090","Cabin1",8
"1091","Cables1",5
"1092","Cables2",3
"1093","Cabp7",5
"1094","Cabyr",7
"1095","Cachd1",5
"1096","Cacna1a",7
"1097","Cacna1b",5
"1098","Cacna1c",7
"1099","Cacna1d",7
"1100","Cacna1h",1
"1101","Cacna2d1",1
"1102","Cacna2d2",1
"1103","Cacna2d3",5
"1104","Cacnb1",4
"1105","Cacnb2",1
"1106","Cacnb3",2
"1107","Cacng6",1
"1108","Cactin",3
"1109","Cad",5
"1110","Cadm1",7
"1111","Cadm3",3
"1112","Cadm4",4
"1113","Calb1",5
"1114","Calcrl",1
"1115","Calm3",4
"1116","Calu",1
"1117","Camk1",1
"1118","Camk1d",9
"1119","Camk1g",6
"1120","Camk2a",7
"1121","Camk2b",1
"1122","Camk2d",6
"1123","Camk2g",1
"1124","Camk2n2",5
"1125","Camkk2",5
"1126","Camkv",5
"1127","Camsap1",5
"1128","Camsap2",5
"1129","Camsap3",3
"1130","Camta1",6
"1131","Cand2",4
"1132","Cant1",7
"1133","Cap1",8
"1134","Cap2",7
"1135","Capg",4
"1136","Capn1",1
"1137","Capn10",5
"1138","Capn12",5
"1139","Capn3",1
"1140","Capn5",1
"1141","Capn6",7
"1142","Capns1",7
"1143","Caprin1",3
"1144","Caprin2",5
"1145","Capza1",1
"1146","Capza2",1
